Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2017,March,Unincorporated Vic, Unincorporated Vic,126,
2017,March,Unincorporated Vic,Total,126,
2016,March,1 North West Metro, Banyule,"7,224","5,668.2"
2016,March,1 North West Metro, Brimbank,"14,970","7,331.4"
2016,March,1 North West Metro, Darebin,"11,893","7,666.7"
2016,March,1 North West Metro, Hobsons Bay,"5,543","5,931.8"
2016,March,1 North West Metro, Hume,"15,600","7,534.7"
2016,March,1 North West Metro, Maribyrnong,"7,178","8,256.1"
2016,March,1 North West Metro, Melbourne,"25,669","17,570.0"
2016,March,1 North West Metro, Melton,"8,794","6,218.4"
2016,March,1 North West Metro, Moonee Valley,"7,066","5,750.7"
2016,March,1 North West Metro, Moreland,"11,174","6,485.4"
2016,March,1 North West Metro, Nillumbik,"2,092","3,259.9"
2016,March,1 North West Metro, Whittlesea,"11,095","5,358.4"
2016,March,1 North West Metro, Wyndham,"11,950","5,264.1"
2016,March,1 North West Metro, Yarra,"10,383","11,177.3"
2016,March,1 North West Metro,Total,"150,631","7,355.0"
2016,March,2 Eastern, Alpine,328,"2,607.7"
2016,March,2 Eastern, Bass Coast,"2,023","6,045.3"
2016,March,2 Eastern, Baw Baw,"2,652","5,379.7"
2016,March,2 Eastern, Benalla,891,"6,372.5"
2016,March,2 Eastern, Boroondara,"6,152","3,470.3"
2016,March,2 Eastern, East Gippsland,"3,278","7,188.6"
2016,March,2 Eastern, Greater Shepparton,"5,670","8,713.4"
2016,March,2 Eastern, Indigo,383,"2,369.3"
2016,March,2 Eastern, Knox,"7,685","4,792.6"
2016,March,2 Eastern, Latrobe,"9,373","12,560.6"
2016,March,2 Eastern, Manningham,"3,403","2,776.4"
2016,March,2 Eastern, Mansfield,416,"4,795.9"
2016,March,2 Eastern, Maroondah,"6,064","5,282.2"
2016,March,2 Eastern, Mitchell,"2,980","7,130.0"
2016,March,2 Eastern, Moira,"1,189","4,032.4"
2016,March,2 Eastern, Monash,"7,876","4,088.8"
2016,March,2 Eastern, Murrindindi,569,"4,049.2"
2016,March,2 Eastern, South Gippsland,893,"3,066.4"
2016,March,2 Eastern, Strathbogie,400,"3,862.1"
2016,March,2 Eastern, Towong,181,"2,993.7"
2016,March,2 Eastern, Wangaratta,"1,667","5,830.3"
2016,March,2 Eastern, Wellington,"3,102","7,126.1"
2016,March,2 Eastern, Whitehorse,"5,837","3,440.8"
2016,March,2 Eastern, Wodonga,"2,567","6,401.5"
2016,March,2 Eastern, Yarra Ranges,"5,738","3,696.5"
2016,March,2 Eastern,Total,"81,317","4,913.3"
2016,March,3 Southern Metro, Bayside,"3,827","3,718.7"
2016,March,3 Southern Metro, Cardinia,"4,956","5,079.3"
2016,March,3 Southern Metro, Casey,"15,786","5,046.9"
2016,March,3 Southern Metro, Frankston,"11,184","8,017.1"
2016,March,3 Southern Metro, Glen Eira,"5,207","3,504.4"
2016,March,3 Southern Metro, Greater Dandenong,"14,065","8,778.4"
2016,March,3 Southern Metro, Kingston,"8,365","5,263.0"
2016,March,3 Southern Metro, Mornington Peninsula,"8,591","5,318.6"
2016,March,3 Southern Metro, Port Phillip,"9,867","9,083.4"
2016,March,3 Southern Metro, Stonnington,"8,049","7,251.2"
2016,March,3 Southern Metro,Total,"89,897","5,986.4"
2016,March,4 Western, Ararat,879,"7,484.0"
2016,March,4 Western, Ballarat,"9,034","8,728.5"
2016,March,4 Western, Buloke,177,"2,816.7"
2016,March,4 Western, Campaspe,"2,518","6,697.7"
2016,March,4 Western, Central Goldfields,911,"6,961.1"
2016,March,4 Western, Colac-Otway,"1,207","5,650.2"
2016,March,4 Western, Corangamite,563,"3,466.1"
2016,March,4 Western, Gannawarra,440,"4,163.9"
2016,March,4 Western, Glenelg,"1,246","6,306.0"
2016,March,4 Western, Golden Plains,600,"2,725.3"
2016,March,4 Western, Greater Bendigo,"6,640","5,914.5"
2016,March,4 Western, Greater Geelong,"16,888","7,050.5"
2016,March,4 Western, Hepburn,612,"3,942.0"
2016,March,4 Western, Hindmarsh,168,"2,904.6"
2016,March,4 Western, Horsham,"2,036","10,239.4"
2016,March,4 Western, Loddon,309,"4,088.4"
2016,March,4 Western, Macedon Ranges,"1,617","3,405.6"
2016,March,4 Western, Mildura,"4,699","8,597.1"
2016,March,4 Western, Moorabool,"1,666","5,099.2"
2016,March,4 Western, Mount Alexander,808,"4,231.0"
2016,March,4 Western, Moyne,427,"2,551.2"
2016,March,4 Western, Northern Grampians,824,"7,121.9"
2016,March,4 Western, Pyrenees,414,"5,658.8"
2016,March,4 Western, Queenscliffe,146,"4,984.6"
2016,March,4 Western, Southern Grampians,851,"5,278.2"
2016,March,4 Western, Surf Coast,"1,207","3,961.9"
2016,March,4 Western, Swan Hill,"1,608","7,695.3"
2016,March,4 Western, Warrnambool,"2,207","6,445.3"
2016,March,4 Western, West Wimmera,115,"2,921.0"
2016,March,4 Western, Yarriambiack,331,"4,908.8"
2016,March,4 Western,Total,"61,148","6,319.7"
2016,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,794,
2016,March,Justice Institutions and Immigration Facilities,Total,794,
2016,March,Unincorporated Vic, Unincorporated Vic,94,
2016,March,Unincorporated Vic,Total,94,
2015,March,1 North West Metro, Banyule,"6,577","5,216.2"
2015,March,1 North West Metro, Brimbank,"13,735","6,838.1"
2015,March,1 North West Metro, Darebin,"10,774","7,089.4"
2015,March,1 North West Metro, Hobsons Bay,"5,373","5,861.0"
2015,March,1 North West Metro, Hume,"13,486","6,805.1"
2015,March,1 North West Metro, Maribyrnong,"6,437","7,592.3"
2015,March,1 North West Metro, Melbourne,"23,656","17,283.3"
2015,March,1 North West Metro, Melton,"7,502","5,560.5"
2015,March,1 North West Metro, Moonee Valley,"6,489","5,397.1"
2015,March,1 North West Metro, Moreland,"10,322","6,148.8"
2015,March,1 North West Metro, Nillumbik,"1,653","2,596.0"
2015,March,1 North West Metro, Whittlesea,"10,002","5,081.1"
2015,March,1 North West Metro, Wyndham,"10,009","4,681.1"
2015,March,1 North West Metro, Yarra,"9,696","10,782.6"
2015,March,1 North West Metro,Total,"135,711","6,862.1"
2015,March,2 Eastern, Alpine,299,"2,405.7"
2015,March,2 Eastern, Bass Coast,"1,897","5,823.3"
2015,March,2 Eastern, Baw Baw,"2,297","4,801.7"
2015,March,2 Eastern, Benalla,789,"5,666.9"
2015,March,2 Eastern, Boroondara,"5,639","3,226.8"
2015,March,2 Eastern, East Gippsland,"2,940","6,552.6"
2015,March,2 Eastern, Greater Shepparton,"5,576","8,646.4"
2015,March,2 Eastern, Indigo,315,"1,978.4"
2015,March,2 Eastern, Knox,"6,933","4,368.6"
2015,March,2 Eastern, Latrobe,"8,085","10,886.5"
2015,March,2 Eastern, Manningham,"3,146","2,604.6"
2015,March,2 Eastern, Mansfield,326,"3,821.8"
2015,March,2 Eastern, Maroondah,"5,614","4,967.1"
2015,March,2 Eastern, Mitchell,"2,192","5,444.1"
2015,March,2 Eastern, Moira,"1,078","3,680.7"
2015,March,2 Eastern, Monash,"6,908","3,651.7"
2015,March,2 Eastern, Murrindindi,478,"3,451.8"
2015,March,2 Eastern, South Gippsland,952,"3,307.7"
2015,March,2 Eastern, Strathbogie,322,"3,164.6"
2015,March,2 Eastern, Towong,141,"2,348.0"
2015,March,2 Eastern, Wangaratta,"1,634","5,806.1"
2015,March,2 Eastern, Wellington,"2,868","6,643.2"
2015,March,2 Eastern, Whitehorse,"5,648","3,388.5"
2015,March,2 Eastern, Wodonga,"2,460","6,271.8"
2015,March,2 Eastern, Yarra Ranges,"5,252","3,423.9"
2015,March,2 Eastern,Total,"73,789","4,526.3"
2015,March,3 Southern Metro, Bayside,"3,361","3,318.9"
2015,March,3 Southern Metro, Cardinia,"3,944","4,273.1"
2015,March,3 Southern Metro, Casey,"13,504","4,508.4"
2015,March,3 Southern Metro, Frankston,"10,400","7,547.7"
2015,March,3 Southern Metro, Glen Eira,"4,474","3,066.0"
2015,March,3 Southern Metro, Greater Dandenong,"12,165","7,795.0"
2015,March,3 Southern Metro, Kingston,"7,241","4,634.4"
2015,March,3 Southern Metro, Mornington Peninsula,"7,366","4,637.6"
2015,March,3 Southern Metro, Port Phillip,"9,158","8,608.7"
2015,March,3 Southern Metro, Stonnington,"7,265","6,725.1"
2015,March,3 Southern Metro,Total,"78,878","5,393.9"
2015,March,4 Western, Ararat,860,"7,385.8"
2015,March,4 Western, Ballarat,"7,825","7,711.0"
2015,March,4 Western, Buloke,200,"3,171.6"
2015,March,4 Western, Campaspe,"2,281","6,094.2"
2015,March,4 Western, Central Goldfields,808,"6,239.4"
2015,March,4 Western, Colac-Otway,"1,055","4,969.4"
2015,March,4 Western, Corangamite,445,"2,734.4"
2015,March,4 Western, Gannawarra,433,"4,109.7"
2015,March,4 Western, Glenelg,"1,404","7,119.0"
2015,March,4 Western, Golden Plains,490,"2,291.0"
2015,March,4 Western, Greater Bendigo,"6,089","5,540.1"
2015,March,4 Western, Greater Geelong,"14,782","6,346.2"
2015,March,4 Western, Hepburn,500,"3,260.7"
2015,March,4 Western, Hindmarsh,152,"2,617.1"
2015,March,4 Western, Horsham,"1,672","8,447.9"
2015,March,4 Western, Loddon,251,"3,332.9"
2015,March,4 Western, Macedon Ranges,"1,419","3,060.0"
2015,March,4 Western, Mildura,"4,627","8,543.8"
2015,March,4 Western, Moorabool,"1,517","4,778.3"
2015,March,4 Western, Mount Alexander,682,"3,628.8"
2015,March,4 Western, Moyne,448,"2,700.3"
2015,March,4 Western, Northern Grampians,769,"6,604.3"
2015,March,4 Western, Pyrenees,352,"4,903.2"
2015,March,4 Western, Queenscliffe,106,"3,614.0"
2015,March,4 Western, Southern Grampians,679,"4,201.2"
2015,March,4 Western, Surf Coast,901,"3,041.4"
2015,March,4 Western, Swan Hill,"1,642","7,859.1"
2015,March,4 Western, Warrnambool,"2,008","5,905.0"
2015,March,4 Western, West Wimmera,80,"2,013.1"
2015,March,4 Western, Yarriambiack,207,"3,032.5"
2015,March,4 Western,Total,"54,684","5,749.2"
2015,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,748,
2015,March,Justice Institutions and Immigration Facilities,Total,748,
2015,March,Unincorporated Vic, Unincorporated Vic,98,
2015,March,Unincorporated Vic,Total,98,
2014,March,1 North West Metro, Banyule,"6,839","5,466.5"
2014,March,1 North West Metro, Brimbank,"15,090","7,603.2"
2014,March,1 North West Metro, Darebin,"10,718","7,168.7"
2014,March,1 North West Metro, Hobsons Bay,"5,444","6,021.0"
2014,March,1 North West Metro, Hume,"12,655","6,616.0"
2014,March,1 North West Metro, Maribyrnong,"6,943","8,419.5"
2014,March,1 North West Metro, Melbourne,"24,815","19,390.5"
2014,March,1 North West Metro, Melton,"7,197","5,565.7"
2014,March,1 North West Metro, Moonee Valley,"6,371","5,410.0"
2014,March,1 North West Metro, Moreland,"9,812","5,979.3"
2014,March,1 North West Metro, Nillumbik,"1,596","2,516.0"
2014,March,1 North West Metro, Whittlesea,"10,184","5,419.9"
2014,March,1 North West Metro, Wyndham,"10,256","5,089.5"
2014,March,1 North West Metro, Yarra,"9,792","11,225.8"
2014,March,1 North West Metro,Total,"137,712","7,185.7"
2014,March,2 Eastern, Alpine,355,"2,873.3"
2014,March,2 Eastern, Bass Coast,"2,079","6,513.8"
2014,March,2 Eastern, Baw Baw,"2,251","4,825.9"
2014,March,2 Eastern, Benalla,859,"6,180.7"
2014,March,2 Eastern, Boroondara,"5,967","3,455.9"
2014,March,2 Eastern, East Gippsland,"3,047","6,881.7"
2014,March,2 Eastern, Greater Shepparton,"5,347","8,365.3"
2014,March,2 Eastern, Indigo,365,"2,320.1"
2014,March,2 Eastern, Knox,"7,316","4,647.0"
2014,March,2 Eastern, Latrobe,"7,729","10,425.7"
2014,March,2 Eastern, Manningham,"3,209","2,686.8"
2014,March,2 Eastern, Mansfield,338,"4,026.2"
2014,March,2 Eastern, Maroondah,"5,847","5,247.7"
2014,March,2 Eastern, Mitchell,"2,013","5,150.4"
2014,March,2 Eastern, Moira,"1,164","4,000.0"
2014,March,2 Eastern, Monash,"7,082","3,804.5"
2014,March,2 Eastern, Murrindindi,565,"4,128.0"
2014,March,2 Eastern, South Gippsland,894,"3,134.5"
2014,March,2 Eastern, Strathbogie,369,"3,683.4"
2014,March,2 Eastern, Towong,215,"3,594.1"
2014,March,2 Eastern, Wangaratta,"1,730","6,209.2"
2014,March,2 Eastern, Wellington,"2,893","6,736.1"
2014,March,2 Eastern, Whitehorse,"5,803","3,531.5"
2014,March,2 Eastern, Wodonga,"2,348","6,119.5"
2014,March,2 Eastern, Yarra Ranges,"5,294","3,483.6"
2014,March,2 Eastern,Total,"75,079","4,662.6"
2014,March,3 Southern Metro, Bayside,"3,420","3,427.0"
2014,March,3 Southern Metro, Cardinia,"4,291","4,872.3"
2014,March,3 Southern Metro, Casey,"12,311","4,275.6"
2014,March,3 Southern Metro, Frankston,"11,254","8,264.0"
2014,March,3 Southern Metro, Glen Eira,"4,644","3,231.9"
2014,March,3 Southern Metro, Greater Dandenong,"12,609","8,288.0"
2014,March,3 Southern Metro, Kingston,"7,520","4,876.5"
2014,March,3 Southern Metro, Mornington Peninsula,"7,832","5,004.5"
2014,March,3 Southern Metro, Port Phillip,"8,802","8,426.9"
2014,March,3 Southern Metro, Stonnington,"7,430","7,016.5"
2014,March,3 Southern Metro,Total,"80,113","5,606.7"
2014,March,4 Western, Ararat,852,"7,370.2"
2014,March,4 Western, Ballarat,"8,177","8,184.0"
2014,March,4 Western, Buloke,186,"2,936.1"
2014,March,4 Western, Campaspe,"2,150","5,758.2"
2014,March,4 Western, Central Goldfields,802,"6,224.8"
2014,March,4 Western, Colac-Otway,"1,130","5,347.6"
2014,March,4 Western, Corangamite,505,"3,090.6"
2014,March,4 Western, Gannawarra,444,"4,214.9"
2014,March,4 Western, Glenelg,"1,262","6,388.3"
2014,March,4 Western, Golden Plains,393,"1,880.5"
2014,March,4 Western, Greater Bendigo,"6,143","5,690.3"
2014,March,4 Western, Greater Geelong,"14,130","6,204.3"
2014,March,4 Western, Hepburn,532,"3,503.7"
2014,March,4 Western, Hindmarsh,175,"2,994.5"
2014,March,4 Western, Horsham,"1,443","7,307.1"
2014,March,4 Western, Loddon,259,"3,447.4"
2014,March,4 Western, Macedon Ranges,"1,465","3,221.8"
2014,March,4 Western, Mildura,"4,712","8,768.6"
2014,March,4 Western, Moorabool,"1,471","4,735.1"
2014,March,4 Western, Mount Alexander,608,"3,286.3"
2014,March,4 Western, Moyne,460,"2,785.9"
2014,March,4 Western, Northern Grampians,679,"5,765.5"
2014,March,4 Western, Pyrenees,347,"4,924.1"
2014,March,4 Western, Queenscliffe,88,"2,963.0"
2014,March,4 Western, Southern Grampians,887,"5,456.8"
2014,March,4 Western, Surf Coast,"1,025","3,549.9"
2014,March,4 Western, Swan Hill,"1,519","7,254.1"
2014,March,4 Western, Warrnambool,"1,910","5,662.8"
2014,March,4 Western, West Wimmera,136,"3,368.0"
2014,March,4 Western, Yarriambiack,214,"3,090.7"
2014,March,4 Western,Total,"54,104","5,764.8"
2014,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,001",
2014,March,Justice Institutions and Immigration Facilities,Total,"1,001",
2014,March,Unincorporated Vic, Unincorporated Vic,67,
2014,March,Unincorporated Vic,Total,67,
2013,March,1 North West Metro, Banyule,"5,694","4,580.3"
2013,March,1 North West Metro, Brimbank,"15,477","7,889.6"
2013,March,1 North West Metro, Darebin,"9,205","6,250.3"
2013,March,1 North West Metro, Hobsons Bay,"5,856","6,565.9"
2013,March,1 North West Metro, Hume,"11,833","6,400.6"
2013,March,1 North West Metro, Maribyrnong,"7,138","8,946.9"
2013,March,1 North West Metro, Melbourne,"24,485","20,625.7"
2013,March,1 North West Metro, Melton,"6,763","5,456.8"
2013,March,1 North West Metro, Moonee Valley,"6,823","5,909.2"
2013,March,1 North West Metro, Moreland,"9,508","5,932.0"
2013,March,1 North West Metro, Nillumbik,"1,509","2,388.6"
2013,March,1 North West Metro, Whittlesea,"9,715","5,419.1"
2013,March,1 North West Metro, Wyndham,"10,678","5,613.8"
2013,March,1 North West Metro, Yarra,"8,789","10,467.8"
2013,March,1 North West Metro,Total,"133,473","7,189.1"
2013,March,2 Eastern, Alpine,293,"2,385.4"
2013,March,2 Eastern, Bass Coast,"1,781","5,684.5"
2013,March,2 Eastern, Baw Baw,"2,119","4,644.2"
2013,March,2 Eastern, Benalla,768,"5,533.9"
2013,March,2 Eastern, Boroondara,"5,805","3,405.0"
2013,March,2 Eastern, East Gippsland,"2,851","6,507.8"
2013,March,2 Eastern, Greater Shepparton,"4,657","7,363.5"
2013,March,2 Eastern, Indigo,339,"2,172.4"
2013,March,2 Eastern, Knox,"6,596","4,218.8"
2013,March,2 Eastern, Latrobe,"7,487","10,100.6"
2013,March,2 Eastern, Manningham,"2,868","2,423.2"
2013,March,2 Eastern, Mansfield,255,"3,081.2"
2013,March,2 Eastern, Maroondah,"5,107","4,652.0"
2013,March,2 Eastern, Mitchell,"1,927","5,099.5"
2013,March,2 Eastern, Moira,"1,030","3,563.4"
2013,March,2 Eastern, Monash,"6,482","3,537.1"
2013,March,2 Eastern, Murrindindi,455,"3,354.7"
2013,March,2 Eastern, South Gippsland,927,"3,278.7"
2013,March,2 Eastern, Strathbogie,376,"3,810.7"
2013,March,2 Eastern, Towong,182,"3,053.2"
2013,March,2 Eastern, Wangaratta,"1,676","6,061.5"
2013,March,2 Eastern, Wellington,"2,830","6,624.4"
2013,March,2 Eastern, Whitehorse,"5,606","3,458.8"
2013,March,2 Eastern, Wodonga,"2,441","6,496.3"
2013,March,2 Eastern, Yarra Ranges,"4,970","3,293.5"
2013,March,2 Eastern,Total,"69,828","4,387.0"
2013,March,3 Southern Metro, Bayside,"3,414","3,474.7"
2013,March,3 Southern Metro, Cardinia,"3,886","4,593.9"
2013,March,3 Southern Metro, Casey,"11,748","4,225.5"
2013,March,3 Southern Metro, Frankston,"10,438","7,769.2"
2013,March,3 Southern Metro, Glen Eira,"4,599","3,255.7"
2013,March,3 Southern Metro, Greater Dandenong,"11,817","7,957.5"
2013,March,3 Southern Metro, Kingston,"7,120","4,673.9"
2013,March,3 Southern Metro, Mornington Peninsula,"7,164","4,651.9"
2013,March,3 Southern Metro, Port Phillip,"8,996","8,806.1"
2013,March,3 Southern Metro, Stonnington,"7,115","6,875.3"
2013,March,3 Southern Metro,Total,"76,297","5,461.6"
2013,March,4 Western, Ararat,871,"7,580.5"
2013,March,4 Western, Ballarat,"7,783","7,914.1"
2013,March,4 Western, Buloke,215,"3,365.7"
2013,March,4 Western, Campaspe,"2,187","5,877.0"
2013,March,4 Western, Central Goldfields,808,"6,305.1"
2013,March,4 Western, Colac-Otway,"1,088","5,172.3"
2013,March,4 Western, Corangamite,491,"2,992.1"
2013,March,4 Western, Gannawarra,401,"3,809.6"
2013,March,4 Western, Glenelg,"1,035","5,228.1"
2013,March,4 Western, Golden Plains,395,"1,939.9"
2013,March,4 Western, Greater Bendigo,"5,735","5,412.6"
2013,March,4 Western, Greater Geelong,"13,096","5,863.3"
2013,March,4 Western, Hepburn,515,"3,428.3"
2013,March,4 Western, Hindmarsh,198,"3,383.5"
2013,March,4 Western, Horsham,"1,315","6,677.2"
2013,March,4 Western, Loddon,325,"4,323.0"
2013,March,4 Western, Macedon Ranges,"1,326","2,973.4"
2013,March,4 Western, Mildura,"4,484","8,435.5"
2013,March,4 Western, Moorabool,"1,386","4,557.7"
2013,March,4 Western, Mount Alexander,624,"3,419.7"
2013,March,4 Western, Moyne,492,"2,994.3"
2013,March,4 Western, Northern Grampians,663,"5,580.8"
2013,March,4 Western, Pyrenees,260,"3,747.5"
2013,March,4 Western, Queenscliffe,85,"2,831.4"
2013,March,4 Western, Southern Grampians,787,"4,812.0"
2013,March,4 Western, Surf Coast,"1,058","3,748.1"
2013,March,4 Western, Swan Hill,"1,349","6,422.9"
2013,March,4 Western, Warrnambool,"1,823","5,454.3"
2013,March,4 Western, West Wimmera,121,"2,934.0"
2013,March,4 Western, Yarriambiack,265,"3,768.5"
2013,March,4 Western,Total,"51,181","5,523.5"
2013,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,853,
2013,March,Justice Institutions and Immigration Facilities,Total,853,
2013,March,Unincorporated Vic, Unincorporated Vic,109,
2013,March,Unincorporated Vic,Total,109,
2012,March,1 North West Metro, Banyule,"5,741","4,645.4"
2012,March,1 North West Metro, Brimbank,"14,550","7,508.7"
2012,March,1 North West Metro, Darebin,"9,759","6,731.0"
2012,March,1 North West Metro, Hobsons Bay,"5,068","5,737.0"
2012,March,1 North West Metro, Hume,"11,125","6,208.1"
2012,March,1 North West Metro, Maribyrnong,"7,106","9,207.2"
2012,March,1 North West Metro, Melbourne,"23,797","22,120.7"
2012,March,1 North West Metro, Melton,"6,382","5,393.4"
2012,March,1 North West Metro, Moonee Valley,"6,160","5,419.1"
2012,March,1 North West Metro, Moreland,"9,061","5,772.6"
2012,March,1 North West Metro, Nillumbik,"1,396","2,218.2"
2012,March,1 North West Metro, Whittlesea,"9,215","5,420.8"
2012,March,1 North West Metro, Wyndham,"10,066","5,619.4"
2012,March,1 North West Metro, Yarra,"9,065","11,154.5"
2012,March,1 North West Metro,Total,"128,491","7,150.6"
2012,March,2 Eastern, Alpine,330,"2,708.7"
2012,March,2 Eastern, Bass Coast,"1,661","5,390.9"
2012,March,2 Eastern, Baw Baw,"1,879","4,221.9"
2012,March,2 Eastern, Benalla,748,"5,401.1"
2012,March,2 Eastern, Boroondara,"5,578","3,310.7"
2012,March,2 Eastern, East Gippsland,"2,374","5,479.0"
2012,March,2 Eastern, Greater Shepparton,"5,174","8,270.2"
2012,March,2 Eastern, Indigo,392,"2,536.6"
2012,March,2 Eastern, Knox,"6,287","4,045.5"
2012,March,2 Eastern, Latrobe,"6,963","9,409.0"
2012,March,2 Eastern, Manningham,"2,846","2,423.4"
2012,March,2 Eastern, Mansfield,236,"2,914.7"
2012,March,2 Eastern, Maroondah,"4,939","4,554.8"
2012,March,2 Eastern, Mitchell,"1,776","4,881.3"
2012,March,2 Eastern, Moira,"1,189","4,146.5"
2012,March,2 Eastern, Monash,"6,298","3,492.8"
2012,March,2 Eastern, Murrindindi,464,"3,448.3"
2012,March,2 Eastern, South Gippsland,880,"3,151.2"
2012,March,2 Eastern, Strathbogie,354,"3,633.0"
2012,March,2 Eastern, Towong,178,"2,996.6"
2012,March,2 Eastern, Wangaratta,"1,726","6,290.5"
2012,March,2 Eastern, Wellington,"2,421","5,703.9"
2012,March,2 Eastern, Whitehorse,"5,308","3,324.5"
2012,March,2 Eastern, Wodonga,"2,470","6,719.6"
2012,March,2 Eastern, Yarra Ranges,"5,012","3,344.4"
2012,March,2 Eastern,Total,"67,483","4,289.6"
2012,March,3 Southern Metro, Bayside,"3,238","3,339.1"
2012,March,3 Southern Metro, Cardinia,"3,468","4,312.3"
2012,March,3 Southern Metro, Casey,"11,077","4,114.2"
2012,March,3 Southern Metro, Frankston,"9,373","7,090.3"
2012,March,3 Southern Metro, Glen Eira,"4,490","3,227.5"
2012,March,3 Southern Metro, Greater Dandenong,"11,047","7,612.5"
2012,March,3 Southern Metro, Kingston,"6,874","4,569.4"
2012,March,3 Southern Metro, Mornington Peninsula,"7,090","4,673.7"
2012,March,3 Southern Metro, Port Phillip,"8,296","8,304.9"
2012,March,3 Southern Metro, Stonnington,"7,115","7,016.1"
2012,March,3 Southern Metro,Total,"72,068","5,273.9"
2012,March,4 Western, Ararat,855,"7,500.0"
2012,March,4 Western, Ballarat,"8,450","8,735.8"
2012,March,4 Western, Buloke,231,"3,590.3"
2012,March,4 Western, Campaspe,"2,039","5,504.7"
2012,March,4 Western, Central Goldfields,686,"5,395.6"
2012,March,4 Western, Colac-Otway,"1,088","5,205.2"
2012,March,4 Western, Corangamite,518,"3,145.1"
2012,March,4 Western, Gannawarra,409,"3,896.0"
2012,March,4 Western, Glenelg,"1,170","5,901.6"
2012,March,4 Western, Golden Plains,329,"1,678.2"
2012,March,4 Western, Greater Bendigo,"5,207","5,011.3"
2012,March,4 Western, Greater Geelong,"13,016","5,939.3"
2012,March,4 Western, Hepburn,540,"3,642.5"
2012,March,4 Western, Hindmarsh,177,"3,022.0"
2012,March,4 Western, Horsham,"1,288","6,568.7"
2012,March,4 Western, Loddon,326,"4,329.9"
2012,March,4 Western, Macedon Ranges,"1,189","2,715.0"
2012,March,4 Western, Mildura,"4,404","8,392.6"
2012,March,4 Western, Moorabool,"1,156","3,936.9"
2012,March,4 Western, Mount Alexander,715,"3,960.6"
2012,March,4 Western, Moyne,482,"2,956.3"
2012,March,4 Western, Northern Grampians,730,"6,098.6"
2012,March,4 Western, Pyrenees,195,"2,842.6"
2012,March,4 Western, Queenscliffe,103,"3,369.3"
2012,March,4 Western, Southern Grampians,825,"5,011.8"
2012,March,4 Western, Surf Coast,"1,132","4,111.9"
2012,March,4 Western, Swan Hill,"1,338","6,380.2"
2012,March,4 Western, Warrnambool,"1,791","5,417.6"
2012,March,4 Western, West Wimmera,101,"2,396.8"
2012,March,4 Western, Yarriambiack,280,"3,946.4"
2012,March,4 Western,Total,"50,770","5,556.5"
2012,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,774,
2012,March,Justice Institutions and Immigration Facilities,Total,774,
2012,March,Unincorporated Vic, Unincorporated Vic,119,
2012,March,Unincorporated Vic,Total,119,
